Source,Target,Weight
ASV_177863,ASV_53978,-0.861816884
ASV_2876,ASV_53612,-0.990914374
ASV_59589,ASV_52455,-0.75647679
ASV_171714,ASV_52273,-0.887106431
ASV_53475,ASV_5128,-0.979883637
ASV_147508,ASV_5128,-0.877295755
ASV_187146,ASV_50189,-0.751146414
ASV_185153,ASV_50189,-0.845854271
ASV_173802,ASV_50090,-0.874142058
ASV_122305,ASV_50090,-0.749328773
ASV_61366,ASV_49853,-0.626816374
ASV_31734,ASV_49853,-0.166704867
ASV_147508,ASV_49853,-0.880360145
ASV_129568,ASV_49853,-0.814177967
ASV_115847,ASV_49853,-0.815585369
ASV_232519,ASV_49844,-0.8945045
ASV_89091,ASV_4912,-0.930101888
ASV_252332,ASV_48335,-0.934170015
ASV_250980,ASV_48335,-0.883359
ASV_122539,ASV_48280,-0.96485745
ASV_74982,ASV_48274,-0.721498559
ASV_231932,ASV_4825,-0.88132006
ASV_134812,ASV_4825,-0.825606709
ASV_81263,ASV_47995,-0.869312734
ASV_17246,ASV_47995,-0.88647128
ASV_8101,ASV_47948,-0.33791214
ASV_141802,ASV_47948,-0.833960319
ASV_111388,ASV_47948,-0.852507697
ASV_99210,ASV_47217,-0.099181387
ASV_48123,ASV_47217,-0.901230498
ASV_227839,ASV_47217,-0.795389936
ASV_163361,ASV_47217,-0.027479135
ASV_154458,ASV_47217,-0.959321487
ASV_13437,ASV_47217,-0.954512393
ASV_203125,ASV_46786,-0.958371514
ASV_184605,ASV_45987,-0.8879205
ASV_160863,ASV_45987,-0.478504124
ASV_59435,ASV_45569,-0.620118533
ASV_54867,ASV_45569,-0.91365521
ASV_22706,ASV_45569,-0.859087198
ASV_168204,ASV_45569,-0.8955155
ASV_147508,ASV_45569,-0.752222568
ASV_8399,ASV_44612,-0.934851582
ASV_210076,ASV_43784,-0.96849143
ASV_209917,ASV_43784,-0.865572041
ASV_177448,ASV_43784,-0.8914595
ASV_91830,ASV_43658,-0.9301115
ASV_21458,ASV_43658,-0.9234425
ASV_202192,ASV_43658,-0.8756755
ASV_233136,ASV_43488,-0.875024
ASV_205264,ASV_43488,-0.876745
ASV_12539,ASV_43488,-0.9237115
ASV_213517,ASV_43135,-0.659969371
ASV_121822,ASV_43135,-0.248006451
ASV_121822,ASV_42898,-0.64333831
ASV_81114,ASV_42852,-0.940108143
ASV_6307,ASV_42852,-0.232031417
ASV_80392,ASV_42075,-0.9059245
ASV_74982,ASV_42075,-0.776705384
ASV_215550,ASV_4197,-0.925139095
ASV_79628,ASV_41858,-0.400641967
ASV_202946,ASV_41858,-0.906316958
ASV_196443,ASV_41858,-0.866683767
ASV_182560,ASV_41858,-0.826103072
ASV_229559,ASV_4174,-0.852210615
ASV_105307,ASV_4174,-0.501142249
ASV_94109,ASV_4100,-0.918419964
ASV_74982,ASV_4100,-0.821541195
ASV_144624,ASV_4100,-0.943352389
ASV_93109,ASV_40276,-0.87024926
ASV_181331,ASV_40276,-0.82571039
ASV_127491,ASV_40276,-0.826326239
ASV_104963,ASV_39919,-0.958626634
ASV_178618,ASV_39728,-0.876030852
ASV_182796,ASV_39648,-0.835649549
ASV_167334,ASV_39548,-0.756233285
ASV_231932,ASV_38259,-0.9061475
ASV_197728,ASV_38259,-0.92934294
ASV_197325,ASV_36702,-0.663986521
ASV_40276,ASV_36168,-0.915877825
ASV_197728,ASV_36168,-0.921170691
ASV_144624,ASV_36168,-0.6806148
