,RM1,RM2,RM3,RM4,RM5,RM6,RM7
ASV_26323,0.000764745,0.00050983,0.000892203,0.000924067,0.000573559,0.00101966,0.000892203
ASV_115282,0.000924067,0.000446101,0.001497626,0.000828474,0.000732881,0.000541695,0.000764745
ASV_23137,0.000764745,0.000382373,0.000764745,0.000477966,0.000605423,0.000860338,0.000477966
ASV_72370,0.000254915,0,0.000254915,0,0.000159322,0.000446101,0.00101966
ASV_219121,0.000828474,0.001688812,0.000701016,0.00079661,0,0,0.000382373
ASV_36702,0.000254915,0.001402033,0.000701016,0.000924067,0.000446101,0.000446101,0.000764745
ASV_177863,0.000828474,0.000955932,0.00050983,0.00101966,0.001210847,0.000605423,0.000350508
ASV_15893,0,0.002389829,0.000924067,0,0.001593219,0,0.000701016
ASV_216015,0.000350508,0,0.000382373,0,0,0,0.000350508
ASV_149074,0,0.000637288,0,0.000573559,0.000732881,0.000987796,0.000828474
ASV_57488,0.001465762,0.000318644,0.001051525,0.00050983,0.000732881,0.000477966,0.000669152
ASV_32232,0.001147118,0,0.000573559,0.000318644,0.001178982,0.000446101,0.00079661
ASV_190052,0.001402033,0,0.001210847,0.000732881,0.000924067,0.000924067,0.000732881
ASV_74421,0.000732881,0.000223051,0.000382373,0.000382373,0.000860338,0.00050983,0.000764745
ASV_126581,0,0,0.001338304,0,0.001210847,0,0
ASV_144624,0.000987796,0.001274575,0.000828474,0.000191186,0.000860338,0.000892203,0.001338304
ASV_212356,0.001083389,0.00152949,0.000573559,0.000892203,0,0.000701016,0
ASV_164369,0.000541695,0.000955932,0.000446101,0.000350508,0.000541695,0.000955932,0.00050983
ASV_138119,0.000860338,0,0.003759997,0,0,0,0.000191186
ASV_171394,0.000446101,0.000541695,0.000732881,0.001115253,0.000764745,0.000764745,0.001178982
ASV_113256,0.000924067,0.000701016,0.000955932,0.000669152,0.001115253,0.000350508,0.00079661
ASV_53195,0.000955932,0.000701016,0.000955932,0.000382373,0.000669152,0.000732881,0.00079661
ASV_236812,0.00079661,0.000701016,0.001051525,0.000701016,0.00079661,0.000924067,0.000350508
ASV_79326,0.000318644,0.000286779,0.000701016,0.00050983,9.56E-05,0.000924067,0.000605423
ASV_44612,0.000828474,0.00079661,0.000350508,0.000892203,0.000701016,0.000605423,0.000701016
ASV_159444,0.001242711,0,0.000955932,0.000669152,0,0,0.000892203
ASV_229521,0.000223051,0.002039321,0.000987796,0.000318644,0.000382373,0.000318644,0.000701016
ASV_176742,0.000159322,0,0,0,0,0,0
ASV_210332,0.000701016,0.000541695,0.000477966,0.000414237,0.00050983,0.000732881,0.000573559
ASV_29872,0,0,0,0,0,0,0
